City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,qaqortoq,60.7167,-46.0333,-0.29,75,7,1.06,GL,1679941752
143,sao filipe,14.8961,-24.4956,22.95,74,3,4.95,CV,1679941553
144,wadi musa,30.3222,35.4793,12.46,56,0,2.19,JO,1679941938
145,torbay,47.6666,-52.7314,2.44,91,100,6.69,CA,1679941420
146,surman,32.7567,12.5716,18.67,58,5,6.68,LY,1679941939
147,northam,51.0333,-4.2167,9.78,81,92,4.61,GB,1679941382
148,muros,42.7762,-9.0603,18.16,65,100,1.72,ES,1679941940
149,isangel,-19.55,169.2667,25.06,100,40,0.0,VU,1679941680
150,nanortalik,60.1432,-45.2371,0.27,69,2,0.71,GL,1679941363
151,beringovskiy,63.05,179.3167,-21.73,84,8,3.97,RU,1679941561
152,henties bay,-22.116,14.2845,17.26,90,10,3.95,NA,1679941368
153,lyuban,52.7985,28.0048,6.73,90,100,3.91,BY,1679941941
154,hambantota,6.1241,81.1185,26.66,78,34,1.76,LK,1679941380
155,chapais,49.7834,-74.8492,-4.12,81,100,4.03,CA,1679941603
156,bagdarin,54.4333,113.6,-1.36,76,100,2.31,RU,1679941942
157,khor,47.8861,134.9464,-0.57,74,37,2.81,RU,1679941943
158,sakakah,29.9697,40.2064,17.76,29,1,3.8,SA,1679941763
159,san carlos de bariloche,-41.1456,-71.3082,20.86,11,0,12.86,AR,1679941635
160,guasdualito,7.2424,-70.7324,34.98,46,20,4.12,VE,1679941947
161,atambua,-9.1061,124.8925,22.48,89,100,1.93,ID,1679941620
162,ordzhonikidze,52.4411,61.7408,3.69,81,62,5.44,KZ,1679941949
163,guerrero negro,27.9769,-114.0611,19.37,41,68,0.51,MX,1679941410
164,moctezuma,29.8,-109.6667,23.95,11,82,0.73,MX,1679941950
165,along,28.1667,94.7667,15.0,98,62,0.65,IN,1679941950
166,itoman,26.1247,127.6694,18.01,77,100,5.66,JP,1679941555
167,pisco,-13.7,-76.2167,25.03,73,0,5.66,PE,1679941489
168,coihaique,-45.5752,-72.0662,12.97,76,100,3.09,CL,1679941943
169,mahebourg,-20.4081,57.7,25.16,88,20,1.54,MU,1679941380
170,nuuk,64.1835,-51.7216,-3.66,63,0,6.71,GL,1679941955
171,stabat,3.761,98.4513,26.11,97,76,1.44,ID,1679941955
172,batticaloa,7.7102,81.6924,25.98,74,56,1.98,LK,1679941955
173,pauini,-7.7136,-66.9764,28.95,75,69,0.28,BR,1679941956
174,tottori,35.5,134.2333,5.73,74,0,1.61,JP,1679941956
175,tornio,65.8481,24.1466,-5.99,96,15,3.02,FI,1679941559
176,ripoll,42.2006,2.1903,10.95,89,17,0.93,ES,1679941957
177,kaitangata,-46.2817,169.8464,5.35,93,100,5.19,NZ,1679941486
178,fortuna,40.5982,-124.1573,7.42,81,20,2.57,US,1679941252
179,bethel,41.3712,-73.414,16.69,31,40,3.6,US,1679941958
180,simao,22.7886,100.9748,16.29,46,69,0.42,CN,1679941958
181,faanui,-16.4833,-151.75,27.86,72,83,4.55,PF,1679941445
182,ancud,-41.8697,-73.8203,13.26,87,99,9.28,CL,1679941514
183,new norfolk,-42.7826,147.0587,12.72,80,100,1.43,AU,1679941418
184,batagay,67.6333,134.6333,-10.94,86,100,2.76,RU,1679941959
185,nizwa,22.9333,57.5333,24.89,39,96,0.87,OM,1679941959
186,komsomolskiy,40.4272,71.7189,13.4,50,53,4.12,UZ,1679941582
187,victor harbor,-35.5667,138.6167,13.71,85,63,1.19,AU,1679941960
188,elk plain,47.0532,-122.3976,9.92,63,0,3.6,US,1679941960
189,yerbogachen,61.2767,108.0108,0.36,96,100,5.83,RU,1679941960
190,priyutovo,53.9,53.9333,7.34,85,100,4.26,RU,1679941961
191,acapulco,16.8634,-99.8901,29.9,54,0,4.63,MX,1679941961
192,loamnes,45.9333,24.1,9.1,66,75,6.69,RO,1679941961
193,kutum,14.2,24.6667,23.36,23,80,4.12,SD,1679941961
194,aleppo,36.25,37.5,12.71,79,0,5.35,SY,1679941962
195,sibiti,-3.6819,13.3499,21.37,97,100,0.21,CG,1679941962
196,ixtapa,20.7,-105.2,24.57,61,40,4.12,MX,1679941962
197,zhicheng,30.2956,111.5047,11.61,63,100,1.05,CN,1679941963
198,cidreira,-30.1811,-50.2056,23.19,54,12,4.1,BR,1679941370
199,san isidro,-12.1167,-77.05,25.77,69,20,3.09,PE,1679941963
200,kruisfontein,-34.0033,24.7314,16.05,71,100,6.75,ZA,1679941964
201,szczytno,53.5626,20.9875,-1.04,59,20,5.14,PL,1679941965
202,matamoros,25.5333,-103.25,28.39,10,75,0.0,MX,1679941965
203,goure,13.9835,10.2704,25.86,13,75,3.93,NE,1679941965
204,sawtell,-30.3833,153.1,19.55,94,85,0.0,AU,1679941627
205,samarai,-10.6167,150.6667,28.11,77,94,5.91,PG,1679941676
206,ormara,25.2088,64.6357,24.03,67,0,5.21,PK,1679941966
207,brigantine,39.4101,-74.3646,15.11,69,75,5.66,US,1679941966
208,ville-marie,47.3335,-79.433,-1.35,81,100,3.07,CA,1679941966
209,toul,48.6667,5.9167,5.77,81,75,4.12,FR,1679941967
210,college,64.8569,-147.8028,0.18,51,100,0.0,US,1679941554
211,champerico,14.3,-91.9167,34.3,61,10,4.03,GT,1679941492
212,arkhara,49.4212,130.0842,-1.3,77,13,1.78,RU,1679941967
213,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1679941928
214,isiolo,0.3546,37.5822,22.67,73,80,1.93,KE,1679941967
215,morant bay,17.8815,-76.4093,31.51,61,2,6.13,JM,1679941968
216,narsaq,60.9167,-46.05,4.12,77,1,0.81,GL,1679941968
217,longyearbyen,78.2186,15.6401,-11.09,67,20,5.14,SJ,1679941968
218,rocha,-34.4833,-54.3333,25.01,41,0,2.66,UY,1679941718
219,sikasso,10.9167,-7.0,33.41,27,72,3.37,ML,1679941969
220,juba,4.8517,31.5825,29.79,38,85,1.13,SS,1679941969
221,tamworth,52.634,-1.6959,9.4,61,40,2.74,GB,1679941838
222,padang,-0.9492,100.3543,25.03,89,62,1.63,ID,1679941969
223,grand bank,47.0999,-55.765,4.0,81,100,5.1,CA,1679941970
224,hue,16.4667,107.6,22.06,94,75,3.6,VN,1679941970
225,vondrozo,-22.8167,47.2833,20.14,95,82,1.99,MG,1679941970
226,orje,59.4802,11.6602,-1.47,81,20,2.98,NO,1679941970
227,yarada,17.65,83.2667,27.18,83,75,1.03,IN,1679941971
228,esperance,-33.8667,121.9,16.36,64,50,4.22,AU,1679941865
229,tecoanapa,16.5167,-98.75,29.16,49,0,4.49,MX,1679941971
230,fairbanks,64.8378,-147.7164,0.45,54,100,0.0,US,1679941922
231,isiro,2.7739,27.616,21.95,79,55,0.71,CD,1679941971
232,lebu,-37.6167,-73.65,15.53,67,56,3.3,CL,1679941942
233,challans,46.8436,-1.8749,12.11,84,98,2.18,FR,1679941972
234,quelimane,-17.8786,36.8883,26.97,78,40,4.12,MZ,1679941972
235,jiaocheng,24.6774,116.1389,14.33,96,100,0.64,CN,1679941972
236,luderitz,-26.6481,15.1594,17.56,87,2,0.71,NA,1679941973
237,lamar,33.6668,-95.5836,18.83,42,0,2.57,US,1679941973
238,russell,32.3502,-85.1999,24.1,88,75,0.0,US,1679941841
239,ikorodu,6.6191,3.5041,29.98,72,100,2.41,NG,1679941973
240,jhang,33.6748,72.6963,18.12,43,86,1.6,PK,1679941974
241,visnes,59.3556,5.2242,4.34,56,20,7.72,NO,1679941974
242,guayaramerin,-10.8368,-65.3614,31.03,62,40,2.06,BO,1679941974
243,half moon bay,37.4636,-122.4286,16.57,54,0,3.09,US,1679941974
244,inirida,3.8653,-67.9239,30.11,65,56,0.66,CO,1679941975
245,xuddur,4.1213,43.8894,30.11,42,89,1.53,SO,1679941975
246,provideniya,64.3833,-173.3,-21.65,99,70,3.17,RU,1679941975
247,faya,18.3851,42.4509,15.06,79,96,2.92,SA,1679941976
248,ambilobe,-13.2,49.05,23.41,95,98,1.17,MG,1679941976
249,ygatimi,-24.0833,-55.5,30.94,42,11,1.06,PY,1679941976
250,oranjestad,12.524,-70.027,28.97,61,20,10.8,AW,1679941854
251,vila franca do campo,37.7167,-25.4333,17.23,85,61,6.05,PT,1679941976
252,gumdag,39.2061,54.5906,20.25,37,100,1.01,TM,1679941977
253,waingapu,-9.6567,120.2641,25.29,80,100,1.6,ID,1679941916
254,son la,21.3167,103.9,17.45,86,67,1.88,VN,1679941977
255,pozoblanco,38.3791,-4.8483,12.53,45,25,1.62,ES,1679941977
256,hamilton,39.1834,-84.5333,14.8,68,100,6.69,US,1679941912
257,cockburn town,21.4612,-71.1419,25.24,78,0,8.04,TC,1679941978
258,mbuji-mayi,-6.15,23.6,20.14,94,100,0.72,CD,1679941978
259,san rafael,-34.6177,-68.3301,29.85,34,0,7.64,AR,1679941898
260,akhisar,38.9185,27.8401,13.93,59,3,4.59,TR,1679941978
261,hobyo,5.3505,48.5268,28.16,75,25,6.19,SO,1679941979
262,alice springs,-23.7,133.8833,26.75,34,100,5.66,AU,1679941814
263,berlevag,70.8578,29.0864,-4.03,80,75,1.03,NO,1679941979
